content,polarity
Fue un placer  tata martino ! Pero bueno.. Bye !,N
"LA MEJOR DE LAS DROGAS, MI  REAL MADRID ! En las buenas y en las malas. #HalaMadrid",P
"Campeones de  copa del rey ,x fin!!!!,despues d q el año pasado no pudo sr,este si!!!!,HALA  MADRID  !!!!@noerubio94  @mi_ce @erpepe1976 @ Y MAS",P
"Venga, ahora a chuparle todos el culo a  bale  cuando hace una semana deciais que no valia para nada",NEU
"Dejare esto aquí, ganamos la orejona #HalaMadridCopa2014   #FinalCopaRelRey   @RealMadrid  http://t.co/NNcLYzsvsr",NEU
"Si corrieran lo que corre  pedrito , al menos por guevos serían respetados los  cules ... Grande  madrid !!!!  Arbitro  showman pero?! #HalaMadrid!!",P
pepe siendo  pepe  se la comio,N
...Y la  Copa  se kedo en España.Colorín colorado #1Copa  @realmadrid  U A (Decepción por  Pepe .Me esperaba su revancha con  Busquets )   #FinalCopa,NEU
Yo vendía a  Messi  y a  Alves  lo echaba,N
el gol de  Bale  fue un gol de Campeón,P
viva el  tata martinooo !!,P
"@mariirode98: digais lo que digais al  barcelona  le falta  valdes , sin  valdes  el  barcelona  no es el mismo",NEU
"A  Pinto  deberían darle dos medallas, gracias a él gano el  Madrid   #HalaMadrid",N
Donde estan esas personas que dijieron que el  madrid  sin  cristiano  no servia???,NEU
El  Barcelona  este año va a ganar lo mismo que el Mutxamel,N
Que cara tiene  Messi  JAJAJA,N
Quien dijo que  BALE  no era nada? Ja ja ja hoy les mostro que es su padre,P
A que hora salen las procesiones por don  Iker Casillas ?,P
Ramos  en el bus tira la copa JAJAJAJAJ,NEU
"""19 copas del rey para  real madrid  <33""",NEU
"@SoloFutbolPlus: En este momento, los jugadores del  @Barcelona  reciben las medallas de Subcampeón.   #CopaRelRey",NEU
La virgen de los dolores paseándose por lepe y alegría en sus calles por la victoria del  REAL MADRID  jaja esto es grande...,P
Yo era uno de q no bancaba a  bale  pero hoy me cerraste el c.. q golazo hiciste mamaaaaaa,P
Gano el mejor equipo del Mundo  @realmadrid  @ReinoMadridista,P
Pensar que el  Tata Martino  en una 2 semana perdio con el  Barsa  todo lo que peleo hace 5 meses...,N
Lo lo lo lo lo  @Cristiano Ronaldo     I love  REAL MADRID !!!,NEU
Real Madrid  se lleva la  Copa del Rey  al ganarle a  Barcelona  2 x 1  #DeportesRadioAmbiente http://t.co/oaX5SXJaiV,NEU
A  Bale  le van a poner la medalla con velcro...,P
Dicen que han visto a la Copa del Rey salir corriendo cuando ha visto acercarse a  Sergio Ramos,NEU
"El  barça  muy mal, no se que cojones pasa pero bueno, no se puede ser el mejor siempre",N
Alves  a empeños a lo bestia y  Messi  al Tibet.,N
"Por favor que  Ramos  no la coga, por lo que pueda pasar :/",N
"@UnaTalRosme_ aja._. Fue un  partido aburrido ,pero que buen gol el de  Bale",N
#FinalCopa jugadorazo  del  partido  el gran  Bale  @GarethBale11 que aun haciendole falta ahi ha marcado el gol que pasara a la historia,NEU
"Enhorabuena compañeros/as  madridistas !!! Moungolos no, sólo a los  madridistas",P
@realmadrid : ¡¡CAMPEONES!!   #FinalCopa  #RMLive http://t.co/jVyP12b4HU los mejores!!!,P
La cara de  Pinto  es un poema JAAAAAJAJAJAJA,NEU
"@PasionFCB: Bueno como dijo  Iniesta , en las buenas y malas con el equipo esta vez no nos toco celebrar ¡Visca el  Barça !",NEU
Al menos podremos ver si  Ramos  tira la copa otra vez...,NEU
"Entonces si no hubiera subido Mou a recibir la medalla de perdedores ah no el man es un mal perdedor, pero como el no subió fué el  Tata",NEU
""" Carvajal : """"Esto va a ser una inyección de moral para nosotros, es una victoria importantisima.""""""",NEU
¿  Messi  ha jugado ?,N
"Pues fue un buen clásico, aunque los mejores del mundo no estuvieron..  CR7  y Messi... Ah no!  Messi  si estaba en la cancha",NEU
@horaciososav: Por lo menos fue una final sin  messi  ni  cristiano .. Que messi jugo? JAJAJAJA HAHAHAHAHA Messi quien?,N
A  Ramos  no le dejarán acercarse a la copa este año. Solo por precaucion,N
La  copa del rey  para quien se la merece ! ! ! Bien luchado  REAL  MADRID  (:,P
"Messi  tenia un mancave debajo de la cancha, ahí es donde estaba",N
El  Real Madrid  es el mejor equipo del mundo y de mi vida.,P
No tires la Copa pisha  @SergioRamos  !!!!!!,NEU
Tarde de espejismos y realidades.El  @realmadrid  gana el único título posible. Toca el @FCBayern.Para el  @FCBarcelona  es un fin de ciclo.#fb,NEU
"Que  Bale  juega mejor por la izquierda es evidente, es su puesto natural.",P
Y la afición del  Barça  dejando solo a su equipo como el año pasado la del  Madrid . Aficiones de puta mierda.,N
Buen partido  entre  @FCBarcelona_es  y  @realmadrid  ánimo mi  @Carles5puyol   @Xavi_Hernan   @TeamMessi   @_Pedro17_   @neymarjr   @cesc4official,P
@PikAHiMoViC  Jugadores nuevos  ya! Los del Barça estan viejos. (Contodo el respeto),N
"@Barcelofia: Y con todo esto los Argentinos son los más felices,  Messi  no llegará lesionado este año y al 100%. Ojalá y caigan en 1ª fase.",N
"@raquel_3270 Raquel tranquilizate y luego, busca quien tiene mas copas del rey en la historia,quizás te resoluciones ver que es el  Barcelona",P
Carvajal  tiene el mismo cuerpo que el enano de Juego de Tronos.,N
A esta hora  Messi  acaba de llegar a Mestalla,NEU
Por favor  @SergioRamos  no dejes caer esta copa!,NEU
Un trofeo súper importante dice  Ramos !!!! Que le dejen la copa si se atreven!!!!,P
"Bueno, ni modo. El que juega mejor, es el que gana. Felicidades a mis amigos  Madridistas . Pero a pesar de todo #PorSiempreBarcelonista",P
Messi  no se vio en el malayo juego,N
No saben lo que me encanta que hayamos ganado con  Casillas  jugando ¡Eres tú mi amor!,P
"Las dos teoricas estrellas del  R MADRID  y  FCBARCELONA  han mirado el  partido , uno desde el banquillo otro desde el campo,y los dos parados",NEU
@freguilson papaaaa hemos ganadooooo vamos  madrid   ¡hala madrid hala madrid !,P
Que grande es  balee  olee!!  #HalaMadrid,P
Dejad de llorar y preguntaros por qué  Messi  no ha corrido ni la mitad de lo que lo han hecho  Di Maria  o  Bale ...ese es el problema del  Farsa,N
"Eso si, si los queridos independentistas  catalanes  pierden la copa, ¿porqué se enfadan? Si es la  copa del Rey , es algo de 'un país ajeno'.",N
Que wevos..... pero siempre Visca el  Barça  y puta  real madrid !,P
""" Casillas : """"Ahora hay que acordarnos de  Jesé , él la está pasando mal, este triunfo es para él"""" Grande capitán! #HalaMadrid""",P
Ese gol de  Bale  ganando la  copa  en frente de todos los  culés  vale todos los millones que quieran ponerle   #FinalCopaRelRey   #HalaMadrid,P
"Amiguitos, dejen de decirle moda al  Barcelona  o pensaré que no saben de fútbol.",N
"Ahí que reconocer Que tuvimos Mucha suerte al final con ese Palo de  Neymar , pero Merecimos ganar",NEU
Le recordamos. Que no le den la copa a  Ramos,NEU
"Enhorabuena a los  madridistas , de verdad.",P
gareth bale  es mil veces mejor que  neymar  hoy quedo claro,P
El rey le ha dicho a  Messi  qe si le daba el cubo para qe no vomitase ahi,N
El  Madrid  gana la  Copa del Rey  justamente ante el  Barcelona  (con balon pero sin peligro),NEU
"Enhorabuena a los del  Madrid , no ha podido ser, pero almenos se ha intentado #ForçaBarça",P
Lo de  Messi  es un cachondeito eeh! Jajaja,N
"Te hubieras quedado, ya no jugamos tan feo pero no ganamos  -El  Barcelona  hablándole a Guardiola.",NEU
Lo peor es que tenemos que estar otro año más con  pinto,N
"Y  Messi  igual, como gana millones no puede tomarse en serio una copa más...",N
Comoo no te voy a quereer  Como no te voy a querer  si vuelves a ganar la  copa  otra vez! ¡¡¡Sii siii siiii la  COPA  VA A  MADRID !!  #FINALCOPA,P
"Yo doy la enhorabuena al  Barça  por el  gran partido , pero pierden mi respeto al quitarse las medallas. #MalPerder",N
Mientras tanto los  barselonistas ....  #HALAMADRID  http://t.co/755wpmtI67,NEU
“@van_Palomaain:  Gareth Bale  es amor”,P
"Joe, cualquiera entra ahora a la twitter, xD. Como los 2 no podian perder ... una pena ... Felicidades a los  madridistas .   #FinalCopa",P
@PikAHiMoViC es culpa de  tata  que se quede,N
"Jajajaja me apuesto a que si hubiera ganado el  barsa  habrian puesto, joderos  madrid . Dejadnos disfrutar y a callar. HALA MADRID.",NEU
Por ahí acabo de ver a unos hinchas del  Barça  mentandole la madre a  Messi  jajajaja no sean tan perrohijueputas por favor.,NEU
Dicen que el defensa que cubría a  Bale  ya se dio cuenta que perdieron   #FinalCopaRelRey   #HalaMadrid  #MadridistaDeCorazon,NEU
Messi  va a llorar.,N
No supero el gol de  @GarethBale11  GRANDE CRACK,P
"Ahi ahi  Ramos , la bandera de Andalucia por todo lo alto. Que chaval mas grande",P
"Si  Neymar  hacia ese gol, era el mejor clasico de esta vida, en shock todavia",NEU
"@parrahortelano diceSaorin: cuando gane lo que a ganado  casillas ,!lo veremos!.",NEU
Criticar a  MESSI  es para los ignorantes del fútbol.,P
"Felicidades  @realmadrid  Enhorabuena a todos los  madridistas !  Disfrutad de la fiesta! Resultado corto, merecimos un 4-0",P
Cuánto daño le hizo la ausencia de Guardiola al  Barça  ?,NEU
Saben los q les duele mas al  farsa  que fue sin  CR7  jaja jajaja,N
Ojalá  Sergio Ramos  no vuelva a romper la copa.,NEU
"""Mi primito de 9 años cuando  neymar  agarraba el balon decia : """"Ahorita se cae & se pone a llorar"""" xd CSM""",N
No sabeis lo que gozo al verles este careto a los del  Barça,N
@ivancaminando @_nvirginia9 Verga papi sera por que le quedaba un cambio y tenia que dejarlo a prórroga?  O si metia  Alexis  iba a parar 1/2,NEU
@wiliamespi los mejores no son eso tenes q aceptarlo de q hicieron un  partido muy bn  debido a  di maria  es otra cosa jajajajaja,P
El capote de  Ramos  ¿donde coño está?,NEU
Cuidado que a  Ramos  no se le caiga la Copa POR LO MENOS LA GANA.,NEU
Vení  Fabregas  yo te quito la mala cara,N
Los del  Barcelona  hacen guarimba si pierden pa ke les den el titulo? #DudaExistencial,NEU
@Bernap97_ATM callando bokitas mi  madrid   bartra  esta aun buscando a  bale  eso es suerte??? HASTA EL FINAL VAMOS REAL,P
Messi  eres un duende tio... jajajaja,N
Me pregunto si  bartra  todavia sta corriendo para alcanzar a  bale ? XD,N
Casillas  Campeon de la  Copa del Rey  reciviendo 1 solo gol. Q grande eres  Iker !! #EternoCapitan http://t.co/i0TIfNmtRp,P
"Felicidades a los verdaderos   Madridistas , ni modos mi  Barcelona  se veía venir, para la otra.",P
xk no poneis el fuera de juego que k le pitan a  messi  en la primera parte ?,NEU
Ni modo! Hay que hacer limpieza hahahaha pobre  @barça  ! Hahaha la camisa de aleeb04 (miren abajo)… http://t.co/wAToQN0mQe,N
Desde el 2003 que  Barça  no perdía 3 juegos consecutivos. ¿Final de una Dinastía? @SancadillaNorte,N
"CAMPEONEEEES!!!!Merecida victoria del  Madrid , gran esfuerzo.Este sí es mi  Madrid !Primer título del año,esperemos q no el último  #HalaMadrid",P
Perfect day mis #CP3 y la victoria de mi  real   #Halamadrid,P
"""De los creadores de """"colega, donde está mi coche?"""" Llega... """"Nen has visto al  Messi ?"""" #FinalCopa """,N
@GermanDZ Por protagonista no dirás  Messi  porque él es español. #ohwait,NEU
Que cara de gilipollas se le ha quedado a  Messi  JAJAJAJAJAJAJAJAAJ,N
Hala  Madrid  hoy mañana y siempre. Por cosas como estas es por lo que estamos siempre contigo y siempre lo estaremos  #HalaMadrid,P
Barcelona  1 vs  real Madrid  2. Campeones si seños que Grande  bale . Ahi estan los 100 millones,NEU
"@carrusel Tampoco os habeis esforzado mucho,porque el  Barça  esta hecho una mierda,asi de claro.",N
"No suelo ver el #futbol y menos mal, porque por poco me quedo hoy sin uñas viendo #LaCopaDelRey  @RealMadrid   @Barcelona  #Campeones !",NEU
Eh  Tata  el año que viene nos vemos,N
"Ramos  cabrón, como tires la Copa hoy... xD",N
Ramos  nada mas no tires hoy la Copa del Rey porfa,N
Y la  copa del reyy  para el mejor equipo d la  liga española   Real Madrid !!  #HalaMadrid,P
Gracias  Real Madrid  ahora a por el  Bayern,P
@federico_arias @DiMaria_Angel esta loco  BALE !!!!,NEU
Campeones de la  Copa del Rey !!!   #FinalCopa   #HalaMadrid  ?????,P
Voy a tener un orgasmo en serio con el gol de  Bale !!!!!,P
"Sólo se salvan  Pedro  y  Bartra  a pesar de que tendría que haber hecho falta a  Bale  en el gol,  Neymar  como siempre las falla todas.",P
Jose pinto  eres una cagada!,N
¡Campeones de la  Copa del Rey !  #HalaMadrid,P
"#CopaDelRey  El mérito de  Bale  en el golazo... es brutal. Minuto 85 de juego y tirar un pique (carrera) así, es simplemente DESCOMUNAL.",NEU
@mao2r9 @lara_stalin shhhhh a callar bocas  #bale  y q pasa con el paquete de 130M piscinero de  Neymar . Y ya vomito  Messi ? Jaja,P
Que grande  sergio ! Mi otro idolo despues de  cristiano ! ENORMEES!!!,P
Real Madrid  campeón y sin  CR7  pero si con unos increíbles Di  Maria  y  Bale,P
La  afición del Barcelona  pita durante el himno en la  final de la Copa del Rey :  20MINUTOS  La  grada madridista  h... http://t.co/Epgt14hwKM,N
No le deis la copa  Ramos !!!!!!,N
@FCBarcelona PINTO  NO ES BUENO necesitan otro Porfa y bajaron mucho mucho mm :( Pero ustedes Pueden,NEU
@CintaDeCapitan no se lo merecía el  Barcelona,N
Él mejor jugador del mundo lo tiene también  Real Madrid  y se llama  Cristiano Ronaldo . :) @RexLomaxQ,NEU
el gol de  BALE  de Oliver y Benji,P
"Y lo mejor es ver a  Messi  y al resto, ir a saludar a Su  Magestad  y el repudio de  arturo más  por malos catalanes.",NEU
Sergio Ramos  buscando un Capote! #MatameCamion,NEU
El  Barça de PEP  (de pie) e incluso de su antecesor no era tan Messidependiente como  el del Tata . Le pesó sacar a  Alexis  por  Neymar .,NEU
#VirusNeymar  ese es el problema del  Barcelona ...ahora se tiene que plantar que hacer para la siguiente temporada,N
@pani48 @rdariasneb  Messi  ha echo un  pedazo de partido !!!  Isco   bale  y  di maria  me quitó el sombrero!!!,P
"Pinto , te voy a pinchar el coche.",N
Neymar Jr  para mi buen jugador perk hoy a decepcionado a todos los  Barcelonistas  pero siempre en las buenas y en las malas! Força  Barça,P
En las victorias te quiero y en las derrotas te amo. Visca el  Barça  SEMPRE ?,P
"Se podría haber goleado a este  barça ,  el cancer del equipo  benzema .",N
#FinalCopa  se confirma q el  rey  corrio mas kilometros q  Messi,NEU
@realmadrid  Hoy en un clásico sin  @Cristiano  y sin  @LeoMessi_Barca  triunfo el  @realmadrid  y demostró su gerarquia Campeooooon,NEU
Una vez mas lo han demostrado!!!!!! HALA  MADRID !!!!!!!!,P
El campeón Fue el  Real Madrid  Entonces El Homenaje sera para aquellos  seguidores del Madrid  Felicitaciones...,NEU
“@ReinoMadridista: Un saludo a los que criticaron el fichaje de  Bale . http://t.co/6JfCaXsVdH” @manu10fcb,P
"Casillas  es muy grande, por muy  antimadridista  que sea..",P
"Hizo más  Cristiano  en las gradas, que  Messi  en el campo.",P
"Noticia de última hora. El helicóptero de la DGT,  MULTA A  GARETH BALE  POR EXCESO DE VELOCIDAD EN VALENCIA",NEU
¿No les pasa que cada día aman más a su equipo? ¡A nosotros si!  #halamadrid    @realmadrid,P
Casillas ..  ese portero que tiene eso. Un culo brutal.,P
"no fue  messi  al  partido , ni  ronaldo , ni  neymar , pero si aparecieron los 100 millones.",NEU
ganadores de la  copa del rey  ¡¡¡ HALA  MADRID !!!,NEU
A los  culés  que no saben perder y a los  madridistas  que no saben ganar los abandonaba en un bosque de lobos cubiertos de olor a jamón.,N
"Peticion importante al  #realmadrid  no dejarle la  #CopaDelRey  a  @SergioRamos  cuando suba al autobus, aunq es grande y le queremos  #HalaMadrid",P
Madridista  hasta la muerte  #HalaMadrid,NEU
"felicidades al  madrid , el primer año desde hace mucho que el  barça  no gana nada un año en blanco (nose de que me suena ) ajajajaja",P
Que no se le caiga la copa a  Ramos  por diioss !!!,N
Enhorabuena al  Real Madrid  y a todos los  madridistas  por el título. Se lo merecen (:,P
"Bueno, enhorabuena a todos los  madridistas  de mi TL.",P
"Como no te voy a querer, como no te voy a querer, si le has ganado al  barsa  la  copa del rey !!  Jajajaja hala  Madrid",NEU
"@mariforever65 bue ... si fuera la Copa de George Clooney todavia, pero es la del  Rey  .. que esta hecho mierda. Que se la metan en el ojete",N
"Hahaha yo apoyo al  Real Madrid  pero por favor, no voten la copa! Hahaha",P
Ramos  buscando un capote que grande!!!,P
Lo único que voy a decir hoy es:  Real Madrid  Te amo!!! Gracias por ser el mejor club del mundo!!!!  #HalaMadrid,P
"Campeones de  copa  señores! Q grande  gareth bale , asi se hace en las finales niño! D nuevo se ha visto quien manda aquí!! Madrid vibra x ella",P
Grande  @GarethBale11  ! Primera de muchas alegrias que nos vas a dar! Grande todo el equipo!,P
"Ya fue, pero siempre contigo, nos levantaremos mi  Barcelona , las caídas nos hacen fuerte ?",P
"Di María  ha chutado tan blandito que no entiendo como  Pinto  no pudo detener el balón y con  Bale ... Ni salió a achicar bien, ni lo vio venir.",NEU
"#FinalCopa   Que  @SergioRamos  conduzca el bus, asi se asegura no tirar la copa. XD",NEU
@stevenarce hace 8 dias exactamente te escribi era la semana de la gloria para el  barcelona  o el fracaso y quedo en el fracaso total...,NEU
Sergio Ramos  habla mejor que los que escriben libros.,P
Hala  Madrid . El primero del triplete. (Bayern mediante).,P
"Pinto  es un jugador de vestuari, ningú ho nega... Però que es quedi al vestuari!. #masipoportunitat  #camachoacuestate    #FinalCopaRelRey",NEU
"Lamentablemente es un año para el olvido del  Barcelona , ni  Champions , ni  copa  y posiblemente ni  liga . :(",NEU
"Sin  #cr7  sin  #Jesse  puro sentimiento , puro orgullo , sintiendo el escudo  #HALAMADRID  PUTA  BARSA  Y PUTA CATALUÑA",NEU
La baja forma de  Messi  es preocupante para el  Barça . Llegan las vacas flacas   #FinalCopa   #HalaMadrid,N
Felicidades a todos los  madridistas  sufridores,P
El  barcelona  es el mejor equipo del mundoo... y siempree lo seraa,P
"A dormi ya, q mañana toca diita d campo con la family :):) #BuenasNoches   #Copadelrey  #Campeones  #Realmadrid",NEU
"Ahora que lo estoy viendo con la medallita,  Messi  ha jugao?",N
Sergio Ramos  no cojas la copa q sabes q la lias!!,N
Me quedo con el carreron de  Bale ... casi se queda sin campo.  Carvajal   partidazo .  #HalaMadrid,P
La última vez que el  Barça  se quedó sin ganar ningún título en una temp. El  @valenciacf  ganó uno (2008). Se repetirá la historia? #AmuntVcf,NEU
Ojalá  Ramos  no deje caer la Copa otra vez....,N
"Gareth Bale  callando bocas a nivel extremo, la teneis hasta dentro  cules !! HALA  MADRID !!!",P
Ahora quien aguanta a los  madridistas .,N
Ha sido mas protagonista  @cristiano  que estaba en el palco que no  messi  que jugaba.,NEU
"""Muy bien  Barcelona  <3""",P
Madridista  sere hasta la muerte,NEU
@Hugo_Vilaboa: +¿Os acordáis de la niña que participó en La Voz y murió? -¡HALA  MADRID !,P
Discutible triunfo del  real Madrid  fuera de juego en el gol de  di maria  y para mi expulsión de  isco  x 2 amarillas logo se kejaran d  arbitros,N
"Vaya racha lleva el  barça ,eliminados de la  champion ,pierden contra el granada y sin  copa del rey  jajajajjajjaja HALA  MADRID",N
ven que podemos ganar sin  cristiano !!!!,NEU
Estoy buscando el capote  Sergio Ramos  = GRANDE,P
"Jefes, los que os reís de  Bartra , habría que ver lo que corréis vosotros.",NEU
La victoria del  Madrid  me sabe muchísimo mejor estando en Bcn!!!! ooole ole y oooole!!!!???  #HalaMadrid,P
Ramos  no cojas la copaaa!!,N
Con el  Barça  hasta la muerte.,P
Tata  está en la mismísima mierda,N
Si Si Si la copa esta en Madrid. Grande  Bale     #FinalCopaRelRey  #Winners  #HalaMadrid,P
"Ya ven cremas, la crisis (?) deportiva es mundial:  Universitario ,  Barcelona ,  Manchester United ,  Boca Juniors , ... Tranquilidad.",NEU
"CASILLAS : 1 gol en toda la copa, y no juega.. Enorme  iker !!",P
Gran partido  el que se vio hoy a todos mis amigos y conocidos que le van al  Barcelona  felicidades siempre son un GRAN rival!   #CopaRelRey  ?,P
Sergio Ramos  que en menos de un mes estará tajado en la feria,N
En las buenas y en las malas orgullo cule !  #FCBarcelona,P
"""@SolanshMayani: Con el relajito  Cristiano  se ve guapo? alwaysss<3""",N
"Hoy no se pudo, vamos  barcelona !!",P
Grande  Madrid !!!!!! Que equipo por favor!!! Demostrando que son los mejores del mundo. HALA  MADRID !!!,P
Real Madrid  campeones de la  copa del rey  orgulloso del mejor equipo del mundo  madridista  hasta la muerte,P
@ReinoMadridista: Un saludo a los que criticaron el fichaje de  Bale . http://t.co/phdZbfnajp Bale si los BALEEE.,P
"No lo diréis los haters, pero vaya  partidazo  de  Carvajal",P
"Buen juego de  Madrid , nada que hacer, pesima defensa, se lo merecian, el  barca  buscó pero no concretó nada, poco de  Messi ,  Fabregas , etc.",P
Neymar  es mas egoísta que hijo único.,N
Dicen que  pinto  ya tiene el nivel de jugar en las hormiguitas,N
Creo que  Mas  está encantado. La  Copa del Rey  iba a terminar en Barcelona?,N
Si  Messi  hubiese jugado hubiera sido otra la historia .,P
"No sé quién será el tal  Bale  ese, pero por Twitter le estáis desgastando el nombre un poco...",NEU
Unas se gana otras se pierde pero siempre se aprende arriba  Barça  ?,P
"Real Madrid ! El mejor club, somos campeones!!",P
"""y sin  cristiano  <3""",NEU
BIEN!!!  Real Madrid  campeón de la  copa del Rey  . @MariamAznar @IreneHipster @AndreaAznar97,P
Ole tu polla!! Con la bamdera a la espalada de ESPAÑA Y ANDALUCIA!!  @SergioRamos,P
El gol de  BALE  y el palo de  Neymar  fueron lo maaas!,P
"Si es que ganamos hasta sin  Cristiano ,  Marcelo ...",P
OLE OLE OLE!!!! SI es que el  Madrid  lo  vale todo...  #HalaMadrid  #OrgulloBlaco #Comedmelcodo,P
"En Espana Real, en Europa Real, en el mundo Real, para siempre  Real Madrid . Ale  Real Madrid  ale ale.",P
Hoxe non está a  Reina Sofía  para que  Casillas  lle plante os dous bicos como hai tres anos. Pero aínda llos pode da a Ga.  Margallo  ou  Wert .,NEU
@2010MisterChip Históricamente al  Barcelona  siempre le a ido mal con  técnicos argentinos .,NEU
"Ta,  Neymar , ya vimos tu cara de acongojado. Vaya  pa las duchas nomás… ¡Juira, bicho!",N
"Tanto que hablan del  Barcelona ,y del  Real  y esos maricas ni los conocen jajaja.",NEU
"@ivanp_97 No te enfades,si le darám a  Xavi  el título de jardinero de oro xD",N
@MesutOzil1088: Hala  madrid ?  Congratulation amigos.  @SergioRamos   #real madrid#CopaDelRey #siiiiii  Ozil  te amo pero te fuiste al Arsenal,P
Grandes chicos  @realmadrid  ya es vuestra_ después del trabajo y el esfuerzo siempre llega la recompensa y la alegría_grande hala  Madrid !,P
"""@Gaoh1:  Casillas : Felicitar al  Barsa  por lo que ha hecho hoy, es una pena pero bueno..."""" O_o??????"""" es una broma?! Joder!""",NEU
Yo ahora solo le pido a  @SergioRamos  que tenga cuidado con la copa. #TEQUIEROREALMADRID,NEU
"La carrera de  bale  en el 85 vale 100 kilos, sin bajada de bandera ni nada... felicidades a la  @aficion_Rmadrid",P
Dicen q  Bale  ya a llegado a la cibeles,P
"Mira q soy  antimadridista , pero como me alegro q pierda el  Barça .  Messi ,mis cojones. Nadie tien huevos a quitalu.Marcandose un  Arbeloa . Cono",P
@Soquinio11: Para mi el  Barcelona  sigue siendo el mejor equipo del mundo.,P
"a la  gente que le gusta el barça  tiene sus motivos y  la del Madrid  también,no tenéis por que insultaros entre vosotros,pero bueeeeeeno:)",NEU
Messi  ha corrido hoy 2.7 km menos que  cristiano  y  Marcelo .,N
"Messi , sos el rey... Sos el mejor... No puedo entender que alguien lo critique, es que él no juega solo hps...  Messi , es D10S. #FCBLIVE",P
"""La copa se vuelve a quedar en Madrid """" capital de España"""" a tomar por culo el  barcelona  ? jajajajaja""",N
@13_Pinto  mi sueño es que marques un gol en la  final de copa  #VeAPorTusSueños no me falles por favor tengo mucha ilusión,P
"@EberIndiana perdona que te diga pero  Pinto  es el bomba, JAJAJAJAJAJAJAJA en serio.. Que coño hacía? Jajajaja",N
Benzema  y  Di María  estan a otro nivel física y futbolísticamente. Bien  bale  por el gol pero no concretó tres contras antes del gol del  Barça,P
Una prueba más de que sin penales el  Barcelona  no le gana a nadie!,N
"@DaniRep pero henos gando gracias a  iker  ,  bale  y  isco",P
Justo campeón el  Madrid .  Barcelona  va a tener que replantearse varias cosas si quiere volver a ser lo que era.,P
En el  Barça  se ha pasado de ser un equipo que se regía por su juego (de posición) al ser equipo de la posesión (inocua) y las jugadas,N
"Quisiera decir que el  Barcelona  jugó bien, pero no fue lo que esperaba. Un golazo de  Bartra , definitivamente, pero nada más.",NEU
100 millones de euros costaste valio la pena SOMOS CAMPEONES hala  madrid  http://t.co/SBLwS56wX8,P
Hala  madrid  !! Vamos por la decina orejona tambien.,P
Bale  nos da la  copa del rey  y el título que celebra el  Barça  gracias a  Neymar  es http://t.co/5g8dna1w0B,P
Si hubieran metido a  Alexis  desde antes y a  Puyol  no hubieran dado guerra,P
El  Barcelona  quiere que anulen el gol de  Bale  porque no puso el intermitente al adelantar al  Baltra,N
"Bale , estás como dios manda. JAJAJA.",P
Que dejes a  Pedro  y a  Alexis  toda una temporada en la banca y los metas a jugar sólo cuando pierdas es FASCISMO.,NEU
"El milagro es que el  Barça  haya llegado vivo al min 84, lamentable  Tata  vete a casa. Enhorabuena  Madrid  justo vencedor",NEU
Bueno ahora si a que horas se va  Martino ????,N
Y decían que  Bale  no valía tanto!! Nadamas le ha dado un título al  Madrid !!  #HalaMadrid,P
"Ya no aguanto, quiero ver a  Iker  con esa Copa quieroooooo quierooo!!!  #HalaMadrid",NEU
@Montag_ue se están cuidando para el mundial y aprovechan de sacar a  martino,N
"lo bueno del fracaso de  martino  es que vuelve al mercado sudamericano, que lo contrate una selección tipo venezuela 1/2",N
"""No es lo mismo dirigir Libertad, Paraguay y Newells que al Barcelona;  Martino  Tecniquito""",N
"El  Real Madrid  ganó el  partido  más importante, lo peor es que pueden ganar  La Liga  sin haber ganado un  Clásico , gracias al mismo  Barça",N
Ahora que la  afición del Barça  en el campo piten a los  Messi  o  Neymar ...no al himno nacional.,N
Cadena perpetua para el  Tata Martino !!,N
"He visto las 2 Ultimas finales del  Real Madrid , y las 2 ha ganado mi gran equipo! Gracias! #RealMadrid   #FinalCopaRelRey",P
La palmadita en la espalda del  Rey  a  Neymar  no ha terminado en piscinazo del brasileño a pesar del contacto.  #vamosmejorando,NEU
@ManoloCardona11  @realmadrid  @francardona11 @juanchocardonam Siiii un saludo desde España!!,NEU
Menos mal que decía que el  @realmadrid  @realno ganaba... #Nene   #FinalCopa   #HalaMadrid  http://t.co/l7Lr2shRuP,P
"Yo no veo mucho fútbol, pero cuando lo hago, veo a  Bale  corriendo y convirtiendo ese golazo.. Animal!!!!||",P
Campeones :-)  Real Madrid  otra copa mas para la historia :-) ahora q por la  champion  y la  Liga  ENHORABUENA  MERENGUES  SOMOS LOS MEJORES,P
A ver pa que mierda el  pinto  se va en el corne de su porteria #meindigno,N
@lasdosmanitas quien ha levantado la copa del rey? El eterno capitán San  Iker . #IkerTitularIndiscutible,P
@Fotlipou: El Madrid ha jugat sense  Cristiano . El Barça sense  Messi . #frac1,NEU
Donde están los  culerdos  que criticabais a  Bale ? TOMAAAAAAAAAAA. A mamarla  antimadridistas !,N
"Todos  los del Barsa  llorando y no saben que  Messi  pasa de la copa, la  liga  el quiere el mundial que es lo que le falta. Fijaros ni corre.",NEU
Madridista  hasta la muerteee??????,NEU
en lo que creo  Madrid  color de sangre que correr por mis venas blanca como el mejor equipo del mundo  #halamadrid,P
El dilema es sí vendo a  ISCO  hoy en FIFA,N
El  Barça  en menos d un mes lo perdió tooodooooooo,N
